,rating,date,title,content,helpful count
117,5,22.02.04,국밥 선택: 돼지국밥,,0
118,5,22.01.17,국밥 선택: 돼지국밥,,0
119,5,22.03.24,국밥 선택: 마라국밥,,1
120,5,22.01.15,국밥 선택: 시그니처 불꽃국밥,,0
121,5,22.01.01,국밥 선택: 돼지국밥,,0
122,5,22.02.11,국밥 선택: 돼지국밥,,0
123,5,22.02.07,국밥 선택: 시그니처 불꽃국밥,,0
124,5,22.02.20,국밥 선택: 시그니처 불꽃국밥,,0
125,5,22.02.18,국밥 선택: 시그니처 불꽃국밥,,0
126,5,22.02.18,국밥 선택: 돼지국밥,,0
127,5,22.02.18,국밥 선택: 시그니처 불꽃국밥,,0
128,5,22.02.18,국밥 선택: 시그니처 불꽃국밥,,0
129,5,22.01.04,국밥 선택: 시그니처 불꽃국밥,,0
130,5,22.02.03,국밥 선택: 돼지국밥,,0
131,5,22.01.10,국밥 선택: 돼지국밥,,0
132,5,22.02.08,국밥 선택: 돼지국밥,,0
133,5,22.02.18,국밥 선택: 돼지국밥,,0
134,5,22.01.10,국밥 선택: 돼지국밥,"요기조기 마니주문해봤는데 요기가 제일루맛난거같네요 또 주문해야겠어요 ㅎㅎ</span></div><span class=""_2QRtghbCyu"">더보기",0
135,5,22.01.10,국밥 선택: 시그니처 불꽃국밥,,0
136,5,22.01.25,국밥 선택: 시그니처 불꽃국밥,,0
137,5,21.12.19,국밥 선택: 시그니처 불꽃국밥,,0
138,5,22.01.26,국밥 선택: 돼지국밥,,0
139,5,21.12.07,국밥 선택: 돼지국밥,,0
140,5,22.01.14,국밥 선택: 돼지국밥,,0
141,5,22.01.09,국밥 선택: 돼지국밥,,0
142,5,22.01.09,국밥 선택: 시그니처 불꽃국밥,,0
143,5,22.01.07,국밥 선택: 돼지국밥,,0
144,5,21.12.07,국밥 선택: 시그니처 불꽃국밥,,0
145,5,21.12.07,국밥 선택: 돼지국밥,,0
146,5,21.12.07,국밥 선택: 돼지국밥,,0
147,5,21.12.07,국밥 선택: 시그니처 불꽃국밥,,0
148,5,22.01.19,국밥 선택: 돼지국밥,,0
149,2,21.12.22,국밥 선택: 돼지국밥,,0
150,5,21.11.16,국밥 선택: 시그니처 불꽃국밥,,0
151,5,21.12.15,국밥 선택: 시그니처 불꽃국밥,,0
152,5,22.01.26,국밥 선택: 시그니처 불꽃국밥,,0
153,5,21.12.19,국밥 선택: 시그니처 불꽃국밥,,0
154,5,21.12.13,국밥 선택: 시그니처 불꽃국밥,,0
155,5,22.01.25,국밥 선택: 마라국밥,,0
156,5,21.12.19,국밥 선택: 돼지국밥,,0
157,5,21.12.23,국밥 선택: 돼지국밥,,0
158,5,22.01.21,국밥 선택: 시그니처 불꽃국밥,,0
159,5,22.01.08,국밥 선택: 시그니처 불꽃국밥,,0
160,5,22.01.14,국밥 선택: 시그니처 불꽃국밥,,0
161,5,21.12.15,국밥 선택: 돼지국밥,,0
162,5,21.12.20,국밥 선택: 돼지국밥,,0
163,5,21.12.20,국밥 선택: 시그니처 불꽃국밥,,0
164,5,21.12.20,국밥 선택: 마라국밥,,0
165,5,21.12.19,국밥 선택: 마라국밥,,0
166,5,21.12.22,국밥 선택: 시그니처 불꽃국밥,,0
167,5,21.12.26,국밥 선택: 돼지국밥,,0
168,3,21.12.03,국밥 선택: 돼지국밥,,0
169,5,22.01.18,국밥 선택: 돼지국밥,,0
170,5,21.12.28,국밥 선택: 돼지국밥,,0
171,5,22.01.10,국밥 선택: 돼지국밥,,0
172,5,21.10.31,국밥 선택: 돼지국밥,,1
173,5,21.12.28,국밥 선택: 시그니처 불꽃국밥,,0
174,5,21.12.01,국밥 선택: 돼지국밥,,0
175,5,21.12.01,국밥 선택: 시그니처 불꽃국밥,,0
176,5,21.12.15,국밥 선택: 시그니처 불꽃국밥,,0
177,5,21.12.13,국밥 선택: 돼지국밥,,0
178,5,22.01.17,국밥 선택: 시그니처 불꽃국밥,,0
179,3,21.12.30,국밥 선택: 시그니처 불꽃국밥,,0
180,4,21.12.30,국밥 선택: 돼지국밥,,0
181,5,21.12.22,국밥 선택: 돼지국밥,,0
182,5,22.01.04,국밥 선택: 시그니처 불꽃국밥,,0
183,5,21.12.23,국밥 선택: 돼지국밥,,0
184,5,21.11.24,국밥 선택: 시그니처 불꽃국밥,,0
185,5,21.11.26,국밥 선택: 시그니처 불꽃국밥,,0
186,5,21.12.11,국밥 선택: 시그니처 불꽃국밥,,0
187,5,22.01.02,국밥 선택: 시그니처 불꽃국밥,,0
188,5,21.12.13,국밥 선택: 시그니처 불꽃국밥,,0
189,5,21.11.01,국밥 선택: 돼지국밥,,0
190,5,21.12.16,국밥 선택: 돼지국밥,,0
191,5,21.12.22,국밥 선택: 시그니처 불꽃국밥,,1
192,5,21.09.27,국밥 선택: 돼지국밥,"10년전 경성대 재학할때 정말 좋아했던 형제국밥이에요! 근처 맛있다는 소위 3대국밥집들이 많았는데 제 입맛에는 형제국밥이 제일 맛있더라구요!! 그래서 점심으로 일주일에 세번은 먹은것같아요ㅋㅋㅋ 국물과 고기가 낭낭해서 항상 공기밥 하나를 더 말아먹었죵ㅋㅋㅋ 지금은 결혼하고 경기도에 살아서 먹을일이없었는데, 임신 6개월차인 최근! 그 국밥이 생각나서 알아보다가 택배주문이 된다는걸 알고 너무 기뻤어요ㅠㅠㅠ! 10년전에도 메뉴가 정말 다양했지만 돼지국밥만 고집했는데 이번 주문엔 불꽃국밥도 같이 시켰는데 둘다 너~~~무 맛있었어요! 나름 형국에서 먹는 느낌 내보려고 양파절임,부추겉절이,다진청양고추 등 준비했는데 대만족이요😭😭 맛있는 국밥 판매 해주셔서 감사합니다!!!!ㅎㅎㅎ 조만간 재주문 할게요😍😍😍</span></div><span class=""_2QRtghbCyu"">더보기",0
193,5,21.09.27,국밥 선택: 시그니처 불꽃국밥,"10년전 경성대 재학할때 정말 좋아했던 형제국밥이에요! 근처 맛있다는 소위 3대국밥집들이 많았는데 제 입맛에는 형제국밥이 제일 맛있더라구요!! 그래서 점심으로 일주일에 세번은 먹은것같아요ㅋㅋㅋ 국물과 고기가 낭낭해서 항상 공기밥 하나를 더 말아먹었죵ㅋㅋㅋ 지금은 결혼하고 경기도에 살아서 먹을일이없었는데, 임신 6개월차인 최근! 그 국밥이 생각나서 알아보다가 택배주문이 된다는걸 알고 너무 기뻤어요ㅠㅠㅠ! 10년전에도 메뉴가 정말 다양했지만 돼지국밥만 고집했는데 이번 주문엔 불꽃국밥도 같이 시켰는데 둘다 너~~~무 맛있었어요! 나름 형국에서 먹는 느낌 내보려고 양파절임,부추겉절이,다진청양고추 등 준비했는데 대만족이요😭😭 맛있는 국밥 판매 해주셔서 감사합니다!!!!ㅎㅎㅎ 조만간 재주문 할게요😍😍😍</span></div><span class=""_2QRtghbCyu"">더보기",0
194,5,21.11.02,국밥 선택: 돼지국밥,,0
195,5,21.12.09,국밥 선택: 돼지국밥,,0
196,5,21.12.22,국밥 선택: 돼지국밥,,0
197,5,21.11.16,국밥 선택: 돼지국밥,,0
198,5,21.11.28,국밥 선택: 돼지국밥,,0
199,5,21.11.15,국밥 선택: 마라국밥,,0
200,5,21.12.14,국밥 선택: 돼지국밥,,0
201,5,21.11.21,국밥 선택: 시그니처 불꽃국밥,,0
202,5,21.11.14,국밥 선택: 돼지국밥,,0
203,5,21.11.14,국밥 선택: 마라국밥,,0
204,5,21.11.22,국밥 선택: 시그니처 불꽃국밥,,0
205,5,21.12.10,국밥 선택: 시그니처 불꽃국밥,,0
206,5,21.12.09,국밥 선택: 돼지국밥,,0
